AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,EXTRAS,SF,- by ken,EXTRAS - SF - by ken,,,,0
,EXTRAS,WR,cancelled,EXTRAS - WR cancelled,,-₱20.00,₱0.00,0
,EXTRAS,BUILD,no parts purchased,EXTRAS - BUILD no parts purchased,"₱1,000",₱980.00,"₱1,120.00",0
,EXTRAS,BUILD,ordinary,EXTRAS - BUILD ordinary,₱200,₱180.00,₱224.00,0
,EXTRAS,BUILD,plug&play,EXTRAS - BUILD plug&play,₱500,₱480.00,₱560.00,0
,EXTRAS,DEEP CLEANING,,EXTRAS - DEEP CLEANING ,"₱1,000",₱980.00,"₱1,120.00",0
,EXTRAS,LABOR,,EXTRAS - LABOR ,₱500,₱480.00,₱560.00,0
,EXTRAS,SF, - lalamove,EXTRAS - SF  - lalamove,,,,0
,EXTRAS,CREDIT CARD,STRAIGHT,EXTRAS - CREDIT CARD STRAIGHT,,,,
,EXTRAS,CREDIT CARD,3 MONTHS,EXTRAS - CREDIT CARD 3 MONTHS,,,,
,EXTRAS,CREDIT CARD,6 MONTHS,EXTRAS - CREDIT CARD 6 MONTHS,,,,
,EXTRAS,CREDIT CARD,9 MONTHS,EXTRAS - CREDIT CARD 9 MONTHS,,,,
,EXTRAS,CREDIT CARD,12 MONTHS,EXTRAS - CREDIT CARD 12 MONTHS,,,,
,EXTRAS,HOME CREDIT,6 MONTHS,EXTRAS - HOME CREDIT 6 MONTHS,,,,
,EXTRAS,HOME CREDIT,9 MONTHS,EXTRAS - HOME CREDIT 9 MONTHS,,,,
,EXTRAS,HOME CREDIT,12 MONTHS,EXTRAS - HOME CREDIT 12 MONTHS,,,,
,LESS : ,DISCOUNT,,LESS :  - DISCOUNT ,,,,
,EXTRAS,DISKLESS SET UP,,EXTRAS - DISKLESS SET UP ,,,,
,EXTRAS,EGS BULK DELIVERY,,EXTRAS - EGS BULK DELIVERY ,,,,
,EXTRAS,SERVER SET UP,,EXTRAS - SERVER SET UP ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,EXTRAS,QRPH,FEE - (15.00),EXTRAS - QRPH FEE - (15.00),,,,
,WARRANTY: ,2 WEEKS,,WARRANTY:  - 2 WEEKS ,,,,
,WARRANTY: ,7 DAYS OUTRIGHT REPLACEMENT / 1 MONTH SUPPLIERS  WARRANTY,,WARRANTY:  - 7 DAYS OUTRIGHT REPLACEMENT / 1 MONTH SUPPLIERS  WARRANTY ,,,,
,WARRANTY: ,7 DAYS OUTRIGHT REPLACEMENT / 3 MONTHS SUPPLIERS  WARRANTY,,WARRANTY:  - 7 DAYS OUTRIGHT REPLACEMENT / 3 MONTHS SUPPLIERS  WARRANTY ,,,,
,WARRANTY: , 7 DAYS ,,WARRANTY:  -  7 DAYS  ,,,,
,WARRANTY: ,7 DAYS OUTRIGHT REPLACEMENT / 1 YEAR SUPPLIERS WARRANTY,,WARRANTY:  - 7 DAYS OUTRIGHT REPLACEMENT / 1 YEAR SUPPLIERS WARRANTY ,,,,
,WARRANTY: ,7 DAYS OUTRIGHT REPLACEMENT / 6 MONTHS SUPPLIERS  WARRANTY,,WARRANTY:  - 7 DAYS OUTRIGHT REPLACEMENT / 6 MONTHS SUPPLIERS  WARRANTY ,,,,
